stars,comment
"5,0 su 5 stelle","







  
  
    Che spettacolo queste Bose Noise Cancelling 700 che, da ora, mi limiterò a chiamarle solo Bose 700. Con queste cuffie Bose alza indiscutibilmente l’asticella migliorando molto rispetto alle QC35II. E tuttavia il suono di queste Bose 700, l’elemento più caratterizzante di una cuffia, seppur di qualità ottima, non sembra essere migliorato tanto rispetto al modello che va a sostituire. Ad ogni modo, acuti e bassi danzano insieme ed emozionano quando ascoltiamo le nostre tracce lossless preferite.  Il suono perfetto, poi, è anche questione di gusti e di cultura musicale. Di certo l’attuale top di gamma delle cuffie Bose non delude neanche i più esigenti.Se dovessi raccontarvele in due righe direi che: il sistema di riduzione del rumore è nelle Bose 700 ancora migliore rispetto alle QC35II, il design premium è eccezionale ed il sistema di ascolto ambientale basato su 11 microfoni è molto performante.La riduzione del rumore attiva di Bose è sempre stata una delle migliori. Nasce, senza giri di parole, per permetterci di ascoltare un pezzo dei Pink Floyd, una Overture di Tchaikovsky o quel che più ci piace, senza il fastidio delle urla dei bambini che giocano nel cortile dotto la finestra. Le QC35II hanno un sistema di riduzione del rumore eccellente che può contare su tre microfoni ambientali. Come saprete il sistema di Noise Cancelling produce frequenze opposte (spero sia il termine corretto) in grado di attutire e persino cancellare certi rumori. Il sistema di ascolto delle Bose 700 utilizza ben 11 microfoni rendendo l’algoritmo di cancellazione ancora più preciso e per questo più efficace. E mentre le QC35II dispongono solo di 3 livelli ANC, queste 700 ne offrono ben 11: 0 ascolto totale dell’ambiente esterno, 10 livello massimo di riduzione del rumore. Ci sono tre livelli predefiniti (0, 5, 10) tra cui muoversi tramite tasto sul padiglione. Per impostare gli altri livelli si interviene tramite app. Se viaggiate spesso godrete sicuramente dell’estremo confort acustico che può regalare un livello 10 su un treno o su un aereo.E sempre rimanendo in tema di microfoni, quelli deputati a captare la nostra voce sono ben 4 con il risultato fantastico che possiamo camminare nel mezzo di una metropoli trafficata senza urlare e con il nostro interlocutore che ci udirà senza fatica.Appena aperta la confezione la prima cosa che colpisce è la bellissima custodia rigida dove sono alloggiate le cuffie (una curiosità: la sola custodia costa, sullo store Bose, 79,95 euro!). I due cavetti (un cavo da usbC ad usbA per la ricarica e un cavo audio da 2,5mm sul padiglione e da 3,5mm sul dispositivo sorgente) sono sistemati dentro di un piccolo vano con tanto di coperchio calamitato, all’interno della custodia. La seconda cosa che si nota è l’assenza di cerniere: le Bose 700, infatti, non si piegano. L’archetto è un unico pezzo di alluminio che termina alle estremità con i padiglioni ruotabili.La presenza di un ingresso usbC per la ricarica è cosa gradita dato che le QC35II sono ancora dotate di microusb.Le Bose 700 sono delle cuffie strepitose e dal prezzo non proprio conveniente (almeno ora, poco dopo il loro lancio sul mercato). L’audio che esprimono è di indubbia di qualità; allo stesso tempo rappresentano una delle massime espressioni di ingegneria elettronica applicata al suono. Sicuramente meglio delle QC35II e forse anche delle Sony MX1000, di certo le cuffie con il miglior design in circolazione.
  
"
"5,0 su 5 stelle","







  
  
    Il prodotto è assolutamente valido, ultimo come prodotto BOSE, e assolutamente top di gamma. Il design è molto interessante e le cuffie come cuscinetti e posizionamento sono assolutamente comode e confortevoli. Ricordo comunque che le cuffie non garantiscono l'isolamento per le persone che vi circondano, quindi aimè il volume delle cuffie deve essere sempre moderato, più che altro essendo una persona suscettibile odio essere di disturbo tipo sui mezzi pubblici, ma questo dipende da voi. a parte ciò consigliatissimo.
  
"
"4,0 su 5 stelle","







  
  
    Le ho paragonate alle wh1000mx3 che possiedo e il suono è molto simile, tranne che per i bassi che sono più pronunciati sulle wh1000mx3.Unica seccatura è che bisogna per forza registrarsi sull'app di bose per attivare le cuffie.....
  
"
"4,0 su 5 stelle","







  
  
    Le cuffie sono prodotte in modo eccellente e la riduzione del rumore è ineguagliabile. La qualità sonora però. In è la migliore sul mercato. Continuo a preferire le Sony.
  
"
"5,0 su 5 stelle","







  
  
    Magnifiche! Hanno un suono pulito, cristallino, graffiante e ben bilanciato. Un passo avanti sotto tutti i punti di vista (comandi touch, suono, ergonomia ed estetica) rispetto al modello precedente.Eccellente anche il servizio post vendita di assistenza al cliente da parte di bose.
  
"
"5,0 su 5 stelle","







  
  
    Perfetta la qualità della comunicazione. Suono di ottimo livello con bassi bilanciati. Batteria in linea con molti altri tipi. Riduzione rumore molto buona. Certamente non elimina tutto ma la differenza si nota e come. Il pulsante del muto funziona bene in telefonata, non con Skype o altre videochiamate da PC. Quando è collegato come principale un pc e come secondario un cellulare, il pulsante preposto attiva il PC (cortana) e non l’assistente vocale del telefono. Allo stesso modo non parte l’audio del cellulare. Può darsi ci sia un modo ma credo che sia necessario avviare una riproduzione dal secondo dispositivo per trasformarlo in primario. Molto soddisfatto Amazon l’ha fatte perfino arrivare in anticipo.
  
"
"5,0 su 5 stelle","







  
  
    Davvero un ottimo prodotto, molto leggero su capelli e orecchie. Le uso per studiare o quando lavoro alle mie illustrazioni. Buona la qualità del suono e buona quella delle telefonate. Migliorerei sul blocco di alcuni suoni, specialmente quelli acuti. Esteticamente sono molto carine
  
"
"4,0 su 5 stelle","







  
  
    Tutto bello ma... trovo che uno dei più grandi problemi sia la costante sensazione di scivolamento dalla testa che ho portandole. In sostanza trovo che il grip dell’archetto non sia ottimale e se si muove la testa guardando in alto o in basso la cuffia rischia di cadere... migliorabile.
  
"
"5,0 su 5 stelle","







  
  
    Cuffie con il miglior noise cancelling sul mercato, ovviamente.Il suono è molto equilibrato, i bassi quindi risultano meno enfatizzati rispetto ad altre cuffie ma per i miei gusti e per ciò che ascolto è perfetto, soprattutto perché riesci a percepire ogni suono in modo chiaro e bilanciato anche a volumi molto bassi. Questa ""carenza"" sui bassi, però, non a tutti può piacere.Per quanto riguarda la fattura e l'estetica, si ha la sensazione di avere per le mani un oggetto premium, anche se il costo è un po alto. Fortunatamente io sono riuscita a beccare un'offerta a 300 euro.
  
"
"5,0 su 5 stelle","







  
  
    Collegare le cuffie all app bose music è un incubo che ha richiesto all'incirca 20 tentativi e diversi riavvii di cuffie e cellulare. Per il resto le cuffie sono ottime, qualità ottima sia in termini di materiali che di resa del suono.
  
"
